id,text,category,processed_text,processed_text_tokens,expansion_type,original_text,generation_method,similarity,coverage,length_ratio,auto_pass,status,final_text,notes
1,Hello world! This is amazing.,general,"Hello, the world is amazing.","['hello', 'world', 'amazing']",generated,hello world amazing,gemini+template,0.9249,1.0,1.474,True,accepted,"Hello, the world is amazing.",
1,Hello world! This is amazing.,general,"Hello, amazing world!","['hello', 'world', 'amazing']",generated,hello world amazing,gemini+template,0.9429,1.0,1.105,True,accepted,"Hello, amazing world!",
1,Hello world! This is amazing.,general,hello world amazing,"['hello', 'world', 'amazing']",original,hello world amazing,original,1.0,1.0,1.0,True,accepted,hello world amazing,
2,The quick brown fox jumps over the lazy dog.,animals,The quick brown fox jumps over the lazy dog.,"['quick', 'brown', 'fox', 'jump', 'lazy', 'dog']",generated,quick brown fox jump lazy dog,gemini+template,0.9405,1.0,1.517,True,accepted,The quick brown fox jumps over the lazy dog.,
2,The quick brown fox jumps over the lazy dog.,animals,The lazy dog was jumped over by a quick brown fox.,"['quick', 'brown', 'fox', 'jump', 'lazy', 'dog']",generated,quick brown fox jump lazy dog,gemini+template,0.9221,1.0,1.724,True,accepted,The lazy dog was jumped over by a quick brown fox.,
2,The quick brown fox jumps over the lazy dog.,animals,quick brown fox jump lazy dog,"['quick', 'brown', 'fox', 'jump', 'lazy', 'dog']",original,quick brown fox jump lazy dog,original,1.0,1.0,1.0,True,accepted,quick brown fox jump lazy dog,
3,I love machine learning and artificial intelligence!,ai,It loves machine learning and artificial intelligence.,"['love', 'machine', 'learning', 'artificial', 'intelligence']",generated,love machine learning artificial intelligence,gemini+template,0.7957,1.0,1.2,True,accepted,It loves machine learning and artificial intelligence.,
3,I love machine learning and artificial intelligence!,ai,A love for machine learning and artificial intelligence is it.,"['love', 'machine', 'learning', 'artificial', 'intelligence']",generated,love machine learning artificial intelligence,gemini+template,0.8392,1.0,1.378,True,accepted,A love for machine learning and artificial intelligence is it.,
3,I love machine learning and artificial intelligence!,ai,love machine learning artificial intelligence,"['love', 'machine', 'learning', 'artificial', 'intelligence']",original,love machine learning artificial intelligence,original,1.0,1.0,1.0,True,accepted,love machine learning artificial intelligence,
4,Text preprocessing is essential for NLP projects.,nlp,Text preprocessing is essential for an NLP project.,"['text', 'preprocessing', 'essential', 'nlp', 'project']",generated,text preprocessing essential nlp project,gemini+template,0.9559,1.0,1.275,True,accepted,Text preprocessing is essential for an NLP project.,
4,Text preprocessing is essential for NLP projects.,nlp,Text preprocessing of an NLP project is essential.,"['text', 'preprocessing', 'essential', 'nlp', 'project']",generated,text preprocessing essential nlp project,gemini+template,0.9729,1.0,1.25,True,accepted,Text preprocessing of an NLP project is essential.,
4,Text preprocessing is essential for NLP projects.,nlp,text preprocessing essential nlp project,"['text', 'preprocessing', 'essential', 'nlp', 'project']",original,text preprocessing essential nlp project,original,1.0,1.0,1.0,True,accepted,text preprocessing essential nlp project,
5,Spark NLP makes everything so much easier!,tools,Spark NLP makes it easy.,"['spark', 'nlp', 'make', 'easy']",generated,spark nlp make easy,gemini+template,0.9804,1.0,1.263,True,accepted,Spark NLP makes it easy.,
5,Spark NLP makes everything so much easier!,tools,spark nlp make easy,"['spark', 'nlp', 'make', 'easy']",original,spark nlp make easy,original,1.0,1.0,1.0,True,accepted,spark nlp make easy,
